word,nature,genre,definition,example
pochade,noun,fem,esquisse montrant des qualités de verve mais aussi des imperfections dues à la rapidité de l'exécution.,Quelques figures sont restées à l'état de pochades; d'autres sont terminées avec une finesse extrême. 
péristyle,noun,mas,colonnade qui décore un frontispice ou l'une des façades d'un édifice et souvent précédée de marches de pierre.,"La porte ouverte, un corridor donnait accès dans une vaste cour... Un péristyle entourait d'ombre cette grande tache de lumière. "
ocelle,noun,mas,"tache ronde dont le centre est d'une autre couleur que la circonférence, et dont sont pourvus certains animaux ",Les ocelles des plumes caudales du paon
ignivome,adj,,qui vomit du feu.,"Un volcan empanaché de fumée et de flammes, au-dessus de petits monticules ignivomes."
corail,adj,,rouge comme le corail.,Lèvres corallines
ostentation,noun,fem,"affectation qu'on apporte à faire qqch, étalage indiscret d'un avantage ou d'une qualité, attitude de qqn qui cherche à se faire remarquer. ",Il parle de sa victoire avec ostentation. 
andain,noun,mas,"trainée de paille laissée par une moissonneuse-batteuse, servant à faire les bottes.","Il s'efforce d'abattre l'herbe par coutelées régulières, de faire des andains de la même largeur. "
épicène,adj,,qui a la même forme au masculin et au féminin.,"Les mots ""enfant"" ou ""élève"" sont des noms épicènes. "
azelan,adj,,dont la robe et les crins sont de couleur fauve tirant sur le roux.,Je m'agrippai à la crinière du fougueux alezan qui galopait ventre à terre.
interlope,adj,,qui est frauduleux frauduleux,Ils tolèrent l'interlope pour les choses que leur commerce n'est pas en état de fournir.
éclamé,adj,,oiseau qui a une aile ou une patte cassée.,Serin éclamé.
issir,verb,,sortir,Des cris aigus issirent des flûtes.
éonisme,noun,mas,adoption par un homme de comportements vestimentaires ou sociaux féminins,"Le Chevalier d'Éon, espion androgyne et homme de lettres français, a fait connaître cette pratique à la fin du 18e siècle."
épitôme,noun,mas,"abrégé d'un livre, d'une histoire",Jusqu'ici les traductions de ce chef-d'oeuvre ont été moins de véritables traductions que des épitômes ou des amplifications paraphrasées.
voussure,noun,fem,portion de voûte qui raccorde un plafond avec la corniche d'une pièce.,"Les muses de stuc assises, une lyre à la main, dans la voussure du plafond."
iridescent,adj,,qui brille avec des reflets irisés,"C'est très beau à voir. Cela est rose et bleu, cela est iridescent et nacré. "
bégueter,verb,,Imitrer la chèvre,"Le bossu se mit à faire la chèvre sur le pré, courant à quatre pattes, avec des bêlements chevrottés, des béguettements, des grimaces."
hypotypose,noun,fem,"figure de style consistant à décrire une scène de manière si frappante, qu'on croit la vivre.",Le lecteur est happé dans le roman par une série d'hypotyposes.
azyme,noun,mas,pain non levé (qui n'a pas gonflé sous l'effet du levain) utilisé par les Juifs pour la Pâque et par l'Église romaine pour la célébration eucharistique.,Et si Jésus n'avait rompu du pain azyme à ses disciples mais au contraire du pain levé ?
abscons,adj,,"obscur, mystérieux, difficile à pénétrer",Un langage abscons et fleuri de métaphores.
algide,adj,,"froid, glacial","Je grelottais sous les couvertures, claquant des dents, trempé de sueur algide"
misaine,noun,fem,"Voile principale du mât situé à l'avant d'un navire, entre le beaupré et le grand mât","Je passai sous la misaine, car il faisait si frais, que nous ne pouvions porter d'autres voiles."
réversion,noun,fem,droit en vertu duquel les biens conjoint défunt reviennent au conjoint survivant,"rentrer dans un bien par réversion, par droit de réversion"
caroubier,noun,fem,"arbre du bassin méditerranéen dont le bois, dur et d'une couleur rouge sombre, est utilisé en ébénisterie.",On déjeunait à l'ombre du grand caroubier
céladon,noun,mas,"amoureux fidèle, sentimental et généralement platonique",Lettre qu'il trouva plus céladon encore et plus plate que la précédente.
synode,noun,mas,assemblée réunie pour l'examen des problèmes de la vie ecclésiale à tous les niveaux.,Le synode est une institution très ancienne dans l'histoire de l'Église.
égrégore,noun,mas,concept ésotérique d'esprit de groupe ou d'inconscient collectif.,La taille et l'unité du groupe déterminent la puissance de l'égrégore.
morigéner,verb,,"réprimander, gronder, sermonner",Christophe n'était pas homme à se laisser morigéner.
caméléopard,noun,mas,"Animal qui a la tête et le cou comme le chameau, et qui est tacheté comme le léopard. On le nomme aussi Girafe.","Je ne vois qu’une foule tumultueuse d’idiots et de fous qui s’empressent de se prosterner devant un gigantesque caméléopard,"
inédie,noun,fem,"privation absolue de toute nourriture, liquide ou solide, généralement pour des motivations d'ordre religieux ou mystique.",Peut-on réellement vivre sans manger ? C'est la question qui se pose quand on évoque l'inédie. 
histrion,noun,mas,"Acteur antique qui jouait des farces grossières, avec accompagnement de flûte.",il réprima impitoyablement le désordres des histrions sur la scène
pétrichor,noun,mas,"odeur particulière, habituellement agréable, que prend la terre après la pluie.","L’odeur de la terre après la pluie, on appelle ça le pétrichor. Mais la ville mouillée, je crois que ça n'a pas de nom."
insidieux,adj,,"qui cherche à induire en erreur, à faire tomber dans un piège.",Le juge d'instruction dont les questions insidieuses et pressantes triomphent des accusés les plus déterminés
crural,adj,,qui concerne la cuisse ou la jambe,"Quatre à quatre monter l'escalier, quel bonheur crural!"
Rodinia,noun,fem,"""terre mère"" en Russe. Rodinia est le nom du supercontinent formé il y a environ 1.100 millions d'années, ancêtre d'un autre super-continent, la Pangée, lui-même ancêtre des continents actuels.","La première grande glaciation, provoquée par la dislocation du supercontinent Rodinia, il y a 715 millions d'années."
apologétique,adj,,"démonstration de la légitimité d'une position, d'une cause, d'un postulat.",Les Pensées de Pascal : d'un projet apologétique à un texte poétique.
nutation,noun,fem,"Mouvement d'oscillation du pôle sur la sphère céleste, ou de l'axe de rotation de la terre dans l'espace, sous l'influence de l'attraction lunaire","On conçoit que le projectile, comme la toupie, prenne un mouvement de nutation autour de la tangente à la trajectoire"
aune ,noun,fem,Ancienne unité de longueur appliquée surtout au mesurage des étoffes,"Ce drap, vendu à l'aune sur la voie publique, révoltait ses habitudes"
gourmer,verb,,brider un cheval en lui mettant la gourmette,Il faut gourmer ce cheval plus court.
émerillon,noun,mas,"petit rapace diurne du genre des faucons, que l'on dressait autrefois pour la chasse.",Les faucons et les émérillons s'ennuient sur le poing des écuyers.
piot,noun,mas,"vin, boisson","Une nuit, ayant humé le piot, j'avais la querelle facile."
acanthe,noun,fem,"plante ornementale méditerranéenne dont les grandes feuilles découpées ont inspiré les architectes grecs, en particulier pour l'ornement des chapiteaux corinthiens.",Le bouquet d’acanthe blanche est un symbole d'amour éternel.
