word,nature,genre,definition,example
pochade,noun,fem,esquisse montrant des qualités de verve mais aussi des imperfections dues à la rapidité de l'exécution.,Le professeur d'art nous a demandé de réaliser une pochade en une heure pour nous entraîner
péristyle,noun,masculin,colonnade qui décore un frontispice ou l'une des façades d'un édifice et souvent précédée de marches de pierre.,Le corridor donnait sur un péristyle entourant la cour
ocelle,noun,masculin,"tache ronde dont le centre est d'une autre couleur que la circonférence, et dont sont pourvus certains animaux ",Les ocelles des plumes caudales du paon
ignivome,adj,,qui vomit du feu.,"Un volcan empanaché de fumée et de flammes, au-dessus de petits monticules ignivomes."
ostentation,noun,feminin,"etalage indiscret d'un avantage ou d'une qualité, attitude de qqn qui cherche à se faire remarquer. ",Il parle de sa victoire avec ostentation. 
andain,noun,masculin,"trainée de paille laissée par une moissonneuse-batteuse, servant à faire les bottes.","Il s'efforce d'abattre l'herbe par coutelées régulières, de faire des andains de la même largeur. "
épicène,adj,,qui a la même forme au masculin et au féminin.,"Les mots ""enfant"" ou ""élève"" sont des noms épicènes. "
alezan,adj,,dont la robe et les crins sont de couleur fauve tirant sur le roux.,Je m'agrippai à la crinière du fougueux alezan qui galopait ventre à terre.
interlope,adj,,"qualifie une personne qui s'immisce dans des affaires qui ne la concernent pas, généralement dans un but illégal ou malhonnête.",Ils tolèrent l'interlope pour les choses que leur commerce n'est pas en état de fournir.
éclamé,adj,,oiseau qui a une aile ou une patte cassée.,J'ai recuperé un oiseau eclamé afin de le remettre sur pieds
issir,verb,,ancien verbe désué signifiant sortir,Des cris aigus issirent des flûtes.
éonisme,noun,masculin,adoption par un homme de comportements vestimentaires ou sociaux féminins,"Le Chevalier d'Éon, espion français, a fait connaître cette pratique à la fin du 18e siècle."
épitôme,noun,masculin,"abrégé d'un livre, le plus souvent d'un livre d'histoire",Jusqu'ici les traductions de ce chef-d'oeuvre n'ont été que des épitômes.
voussure,noun,feminin,portion de voûte qui raccorde un plafond avec la corniche d'une pièce.,"Les muses se postent, une lyre à la main, dans la voussure du plafond."
bégueter,verb,,Imiter la chèvre,J'entends les chèvres bégueter dans le champ voisin tous les matins
hypotypose,noun,feminin,"figure de style consistant à décrire une scène de manière si frappante, qu'on croit la vivre.",Le lecteur est happé dans le roman par une série d'hypotyposes.
azyme,noun,masculin,Pain que les juifs mangent au temps de leur Pâque en commémoration de celui que mangèrent leurs ancêtres à la sortie d'Égypte,Beaucoup d'israélites consomment encore à Pâque des pains azymes
abscons,adj,,"obscur, mystérieux, difficile à pénétrer",Un langage abscons et fleuri de métaphores.
algide,adj,,"qui est froid, pâle ou qui manque de chaleur ou de vitalité","Je grelottais sous les couvertures, claquant des dents, trempé de sueur algide"
misaine,noun,feminin,"Voile principale du mât situé à l'avant d'un navire, entre le beaupré et le grand mât",Le navire a hissé la misaine pour prendre le vent et accélérer sa course vers le port
réversion,noun,feminin,droit en vertu duquel les biens conjoint défunt reviennent au conjoint survivant,La réversion d'un bien immobilier à ses héritiers est un processus juridique complexe
caroubier,noun,masculin,"Arbre originaire du bassin méditerranéen et d'Afrique du Nord, cultivé pour ses gousses comestibles",On déjeunait à l'ombre du grand caroubier
