word,nature,genre,definition,example
abstemious,adj,,"indulging only very moderately in something, especially food and drink","despite the lavish banquet, he remained abstemious, eating sparingly"
accoutrement,noun,,"additional items of dress or equipment, or other items carried or worn by a person",his hiking accoutrements included a sturdy backpack and a walking stick
anathema,noun,,something or someone that one vehemently dislikes; a strong curse,the concept of cheating was anathema to the honest student
baleful,adj,,threatening harm or evil; menacing,the villain cast a baleful glance at the heroes as they approached
callipygian,adj,,"having well-shaped, beautiful buttocks",the sculpture was noted for its depiction of a callipygian figure
inveterate,adj,,having a particular habit or interest that is long-established and unlikely to change,"he was an inveterate coffee drinker, never starting his day without a cup"
malinger,verb,,to pretend illness to escape duty or work,he was suspected of malingering when he called in sick for the third time in a month
petrichor,noun,,"the pleasant, earthy smell after rain","the petrichor filled the air, refreshing the senses after the storm"
plenipotentiary,noun,,"a person, especially a diplomat, invested with full power to transact business",the plenipotentiary was authorized to negotiate on behalf of the government
rambunctious,adj,,uncontrollably exuberant or boisterous,the rambunctious puppy playfully chased its tail around the room
rapscallion,noun,,a mischievous person; a rascal,the young rapscallion was always up to some prank or another
redolent,adj,,strongly reminiscent or suggestive of; fragrant or sweet-smelling,the kitchen was redolent with the aroma of baking bread
schadenfreude,noun,,pleasure derived by someone from another person's misfortune,his failure was met with schadenfreude by his rivals
anfractuous,adj,,full of twists and turns; winding or circuitous,the anfractuous path through the mountains was both challenging and beautiful
hapax legomenon,noun,,a word or form occurring only once in a document or corpus,"the phrase is a hapax legomenon, making its interpretation difficult"
runcible,adj,,"invented or nonsensical term, often used humorously for a fork-like utensil",they ate their pie with a curious runcible spoon
zugzwang,noun,,a situation in chess where a player is put at a disadvantage because they must make a move,"in the final moves, she had him in zugzwang, securing her victory"
absquatulate,verb,,to leave abruptly or hurriedly; to flee,the thieves decided to absquatulate with the stolen goods
bombinate,verb,,to make a humming or buzzing noise,the room was quiet except for the bombinate of the old computer
flibbertigibbet,noun,,"a frivolous, flighty, or excessively talkative person","her aunt was a flibbertigibbet, always chatting about this and that"
jejune,adj,,"naive, simplistic, and superficial; or dry and uninteresting","the lecture was jejune, failing to capture the complexity of the topic"
katabasis,noun,,"a descent, especially a military retreat; in literature, a trip to the underworld",the hero's katabasis marked a turning point in his journey
limerence,noun,,the state of being infatuated or obsessed with another person,his limerence for her was obvious to everyone but her
nefelibata,noun,,a dreamer; someone who lives in the clouds of their own imagination,"as a nefelibata, she often got lost in her daydreams"
recumbentibus,noun,,"a knockout punch, either literal or figurative","his final argument was a recumbentibus, leaving no room for doubt"
sibilant,adj,,characterized by a hissing sound,the sibilant whisper of the wind through the trees was eerie
truculent,adj,,eager or quick to argue or fight; aggressively defiant,the truculent attitude of the young player got him into frequent trouble
ululate,verb,,"to howl or wail, often in grief or jubilation",the fans began to ululate as the winning goal was scored
vexatious,adj,,"causing or tending to cause annoyance, frustration, or worry",the vexatious problem was difficult to solve and caused much stress
widdershins,adverb,,"in a direction contrary to the sun's course, considered as unlucky; counterclockwise","they danced widdershins around the fire, as per the old tradition"
yaffle,verb,,to eat or drink noisily or greedily,"he yaffled his lunch, barely pausing to breathe"
grandiloquent,adj,,"pompous or extravagant in language, style, or manner",his grandiloquent speech was filled with elaborate metaphors
hiraeth,noun,,a deep longing for home or a place not possible to return to,"living abroad, she often felt hiraeth for her hometown"
ineffable,adj,,too great or extreme to be expressed or described in words,"the beauty of the sunset was ineffable, leaving them in awe"
kowtow,verb,,act in an excessively subservient manner; to bow or kneel deeply,he refused to kowtow to the unreasonable demands
lethologica,noun,,the inability to remember a particular word or name,"she experienced lethologica, frustratingly unable to recall the word on the tip of her tongue"
salubrious,adj,,health-giving; healthy,the salubrious effect of the mountain air was immediately noticeable
tintinnabulation,noun,,the ringing or sounding of bells,the tintinnabulation of the church bells could be heard across the valley
uxorious,adj,,having or showing excessive fondness for one's wife,his uxorious behavior was well-known among his friends
yokel,noun,,an uneducated and unsophisticated person from the countryside,the city dwellers mistakenly regarded him as just another yokel
floccinaucinihilipilification,noun,,the action or habit of estimating something as worthless,his floccinaucinihilipilification of the arts angered many
rhomboid,adj,,"shaped like a rhombus or diamond, often used in geometry or describing muscles in the upper back",the rhomboid muscle plays a key role in shoulder movements
