word,nature,genre,definition,example
aumbry,noun,,"a recess in the wall of a church or a cupboard in the sacristy where sacred vessels, books, vestments, etc., are kept.",
baldric,noun,,an often ornamented belt worn over one shoulder to support a sword or bugle,"Baldrics have been used since ancient times, usually as part of military dress"
abibliophobia,noun,,The fear of running out of reading material.,"As a librarian, she always had multiple books on hand due to her abibliophobia."
aboulomania,noun,,Indecision due to a lack of willpower.,His aboulomania prevented him from deciding where to go for dinner.
acedia,noun,,Spiritual or mental sloth; apathy.,The monk was struggling with acedia and found it difficult to focus on his prayers.
agathism,noun,,The belief that all things are inherently good.,Her agathism made her see the best in everyone.
agelast,noun,,Someone who never laughs.,"His serious demeanor and lack of humor earned him the nickname ""agelast"" among his friends."
anfractuous,adj,,Full of twists and turns; winding.,The anfractuous path through the woods made it difficult to navigate.
antipodal,adj,,Situated on opposite sides of the earth; diametrically opposed.,The antipodal regions of the world have vastly different climates.
argle-bargle,noun,,A noisy or heated argument.,The argle-bargle between the politicians became a shouting match.
brouhaha,noun,,A noisy and overexcited reaction or response to something.,The brouhaha over the celebrity's new haircut was unexpected.
callipygian,adj,,Having shapely buttocks.,The sculpture's callipygian figure was admired by all who saw it.
capriccio,noun,,A sudden and unaccountable change of mood or behavior.,His capriccio made him cancel his plans at the last minute.
crapulent,adj,,Feeling ill or indisposed due to excessive drinking or eating.,"After the feast, everyone felt crapulent and regretted overindulging."
cynosure,noun,,Something or someone that attracts attention or admiration.,The new skyscraper became the cynosure of the city's skyline.
defenestration,noun,,The act of throwing someone or something out of a window.,The defenestration of the king's advisors led to a rebellion.
demesne,noun,,An estate or property owned and managed by a wealthy landowner.,The sprawling demesne was the envy of all the neighboring lords.
dulcet,adj,,Sweet and soothing to the ear.,The dulcet tones of the musician's voice put the audience at ease.
eleemosynary,adj,,Relating to charity or giving alms.,The eleemosynary donations helped support the local homeless shelter.
emolument,noun,,Payment or compensation received for work or services rendered.,The CEO's emolument was a hefty salary and stock options.
